Id,Questions,Answer
,What do I need to tell my doctor BEFORE I take this drug?,"Before starting COSENTYX, tell your doctor if you:
• are being treated for an infection
• have an infection that does not go away or that keeps coming back
• have TB or have been in close contact with someone with TB
think you have an infection or have symptoms of an infection, such as: fevers, sweats, or chills; muscle aches; cough; shortness of breath; blood in your phlegm; weight loss; warm, red, or painful skin or sores on your body; diarrhea or stomach pain; burning when you urinate or urinate more often than normal
After starting COSENTYX, call your doctor right away if you have any signs of infection listed above. Do not use COSENTYX if you have any signs of infection unless you are instructed to by your doctor.
Inflammatory Bowel Disease
New cases of inflammatory bowel disease or “flare-ups” can happen with COSENTYX, and can sometimes be serious. If you have inflammatory bowel disease (ulcerative colitis or Crohn’s disease), tell your doctor if you have worsening disease symptoms during treatment with COSENTYX or develop new symptoms of stomach pain or diarrhea.
Serious Allergic Reactions
Serious allergic reactions can occur. Get emergency medical help right away if you get any of the following symptoms: feeling faint; swelling of your face, eyelids, lips, mouth, tongue, or throat; trouble breathing or throat tightness; chest tightness; or skin rash. If you have a severe allergic reaction, do not give another injection of COSENTYX.  
Before starting COSENTYX, tell your doctor if you:
• have any of the conditions or symptoms listed above for infections
• have inflammatory bowel disease (Crohn's disease or ulcerative colitis)
• are allergic to latex. The needle caps contain latex.
have recently received or are scheduled to receive an immunization (vaccine). People who take COSENTYX should not receive live vaccines.
• have any other medical conditions
• are pregnant or plan to become pregnant. It is not known if COSENTYX can harm your unborn baby. You and your doctor should decide if you will use COSENTYX.
• are breastfeeding or plan to breastfeed. It is not known if COSENTYX passes into your breast milk.
Tell your doctor about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements. Know the medicines you take. Keep a list of your medicines to show your doctor and pharmacist when you get a new medicine.
"
,What are some things I need to know or do while I take this drug?,"• Tell all of your health care providers that you take this drug. This includes your doctors, nurses, pharmacists, and dentists.
• If you have a latex allergy, talk with your doctor.
• Have blood work checked as you have been told by the doctor. Talk with the doctor.
• You may have more chance of getting an infection. Wash hands often. Stay away from people with infections, colds, or flu.
• Make sure you are up to date with all your vaccines before treatment with this drug.
• Talk with your doctor before getting any vaccines. Use of some vaccines with this drug may either raise the chance of an infection or make the vaccine not work as well.
• You will need a TB (tuberculosis) test before starting this drug.
• If you have inflammatory bowel disease like ulcerative colitis or Crohn’s disease, talk with your doctor. New and worsening inflammatory bowel disease has happened with this drug. Sometimes this may be very bad. Talk with your doctor.
• Tell your doctor if you are pregnant, plan on getting pregnant, or are breast-feeding. You will need to talk about the benefits and risks to you and the baby.
"
,How is this drug best taken?,"Use this drug as ordered by your doctor. Read all information given to you. Follow all instructions closely.
• It is given as a shot into the fatty part of the skin on the top of the thigh, belly area, or upper arm.
• If you will be giving yourself the shot, your doctor or nurse will teach you how to give the shot.
• Wash your hands before and after use.
• Move the site where you give the shot with each shot.
• Do not give into skin within 2 inches of the belly button.
• Do not use if the solution is cloudy, leaking, or has particles.
• This drug is colorless to a faint yellow. Do not use if the solution changes color.
• Do not give into skin that is irritated, bruised, red, infected, or scarred.
• Do not give into skin that is affected by psoriasis.
• Do not shake.
• Before using this drug, take it out of the refrigerator. Allow to reach room temperature (15 to 30 minutes) without taking off the needle cap. Do not heat this drug.
• Use within 1 hour of taking out of the refrigerator.
• Throw away any part not used after use.
• Throw away needles in a needle/sharp disposal box. Do not reuse needles or other items. When the box is full, follow all local rules for getting rid of it. Talk with a doctor or pharmacist if you have any questions.
"
,How do I store and/or throw out this drug?,"• Store in a refrigerator. Do not freeze.
• Store in the original container to protect from light.
• Keep all drugs in a safe place. Keep all drugs out of the reach of children and pets.
• Throw away unused or expired drugs. Do not flush down a toilet or pour down a drain unless you are told to do so. Check with your pharmacist if you have questions about the best way to throw out drugs. There may be drug take-back programs in your area."
,What if I can’t get insurance coverage for COSENTYX?,"In the unlikely event that your coverage is denied, we’ll do everything we can to help. Learn more about our Covered Until You’re Covered Program†. The program offers up to 2 years of COSENTYX for free if your coverage isn’t initially approved.
In the meantime, here’s what you can do:
• Talk to your doctor about submitting an appeal to the insurance company to reverse their decision.
• Call your insurance company directly to understand the reason(s) why your prior authorization was denied and discuss an appeal.
• If your plan was purchased through your state’s health insurance marketplace, you can find help on HealthCare.gov.
• Call your state’s insurance commissioner's office office and ask for steps on how to file an appeal for your prescription coverage. You can find your state’s insurance commissioner at the National Association of Insurance Commissioners.
"
,What are the ingredients in COSENTYX?,"Active ingredient: secukinumab
Inactive ingredients: Sensoready pen and prefilled syringe: L-histidine/histidine hydrochloride monohydrate, L-methionine,
polysorbate 80, trehalose dihydrate, and sterile water for injection.
Vial: L-histidine/histidine hydrochloride monohydrate, polysorbate 80, and sucrose"
,What are the possible side effects of COSENTYX?,"COSENTYX may cause serious side effects including:
• See “What is the most important information I should know about COSENTYX?”
• Inflammatory bowel disease. New cases of inflammatory bowel disease or “flare-ups” can happen with COSENTYX, and can sometimes be serious.
•  If you have inflammatory bowel disease (ulcerative colitis or Crohn’s disease), tell your healthcare provider if you have worsening disease symptoms during treatment with COSENTYX or develop new symptoms of stomach pain or diarrhea.
• Serious allergic reactions. Get emergency medical help right away if you get any of the following symptoms of a serious allergic reaction: 
o feel faint
o  swelling of your face, eyelids, lips, mouth, tongue, or throat
o trouble breathing or throat tightness
o chest tightness
o skin rash
• If you have a severe allergic reaction, do not give another injection of COSENTYX.
• The most common side effects of COSENTYX include:
o cold symptoms 
o diarrhea 
o upper respiratory infections
These are not all of the possible side effects of COSENTYX.
Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.
"
,What is the most important information I should know about COSENTYX?,"COSENTYX is a medicine that affects your immune system. COSENTYX may increase your risk of having serious side effects such as: Infections. COSENTYX may lower the ability of your immune system to fight infections and may increase your risk of infections.
• Your healthcare provider should check you for tuberculosis (TB) before starting treatment with COSENTYX.
• If your healthcare provider feels that you are at risk for TB, you may be treated with medicine for TB before you begin treatment with COSENTYX and during treatment with COSENTYX. 
• Your healthcare provider should watch you closely for signs and symptoms of TB during treatment with COSENTYX. Do not take COSENTYX if you have an active TB infection.
"
,When should not take COSENTYX?,Do not use COSENTYX if you have had a severe allergic reaction to secukinumab or any of the other ingredients in COSENTYX. See the end of this Medication Guide for a complete list of ingredients in COSENTYX.
,HOW CONSENTYX is supplied ? ,"COSENTYX Sensoready pen: 
• NDC 0078-0639-41: Carton of two 150 mg/mL (300 mg dose) Sensoready pens (injection)
 • NDC 0078-0639-68: Carton of one 150 mg/mL single-use Sensoready pen (injection)
 COSENTYX prefilled syringe: 
• NDC 0078-0639-98: Carton of two 150 mg/mL (300 mg dose) single-use prefilled syringes (injection)
• NDC 0078-0639-97: Carton of one 150 mg/mL single-use prefilled syringe (injection) 
The removable cap of the COSENTYX Sensoready pen and prefilled syringe contains natural rubber latex. Each Sensoready pen and prefilled syringe is equipped with a needle safety guard. 
COSENTYX vial (for healthcare professional use only):
 • NDC 0078-0657-61: Carton of one 150 mg lyophilized powder in a single-use vial (for injection)
"
,How should I dispose of used COSENTYX prefilled syringes?,"Put your used prefilled syringes in a FDA-cleared sharps disposal container right away after use. Do not throw away (dispose of) prefilled syringes in your household trash. If you do not have an FDA-cleared sharps disposal container, you may use a household container that is:
• made of a heavy-duty plastic, 
• can be closed with a tight-fitting, puncture-resistant lid, without sharps being able to come out, 
• upright and stable during use, o leak-resistant, and
• properly labeled to warn of hazardous waste inside the container. 
When your sharps disposal container is almost full, you will need to follow your community guidelines for the right way to dispose of your sharps disposal container. There may be state or local laws about how you should throw away used needles, syringes and prefilled syringes. For more information about safe sharps disposal, and for specific information about sharps disposal in the state that you live in, go to the FDA’s website at: http://www.fda.gov/safesharpsdisposal.
"
,How to prepare the COSENTYX prefilled syringe?,"Step 1. Find a clean, well-lit, flat work surface.                                                                                                                                                                                                                                       Step 2. Take the carton containing the COSENTYX prefilled syringe out of the refrigerator and leave it unopened on your work surface for about 15 to 30 minutes so that it reaches room temperature. 
Step 3. Wash your hands well with soap and water. 
Step 4. Remove the COSENTYX prefilled syringe from the outer carton and take it out of the blister. 
Step 5. Look through the viewing window on the COSENTYX prefilled syringe. The liquid inside should be clear. The color may be colorless to slightly yellow. You may see a small air bubble in the liquid. This is normal. Do not use the prefilled syringe if the liquid contains visible particles, or if the liquid is cloudy or discolored. 
Step 6. Do not use the COSENTYX prefilled syringe if it is broken. Return the prefilled syringe and the package it came in to the pharmacy.
 Step 7. Do not use the COSENTYX prefilled syringe if the expiration date has passed.
"
,What's the dosing for psoriatic-arthritis?,"COSENTYX is a convenient once-a-month dose.

 

If you have psoriatic arthritis with moderate to severe plaque psoriasis, your doctor may prescribe 5 weekly doses to start, followed by one dose every 4 weeks. The recommended dose is 300 mg, which is taken as two (2) 150-mg injections under the skin. For some people, a dose of 150 mg may be acceptable.


If you have psoriatic arthritis with mild or no plaque psoriasis, your doctor will either prescribe 5 weekly doses or just one dose once a month to start. After that, you only need to take COSENTYX once every 4 weeks. The recommended dose is 150 mg, which is taken as one injection under the skin.

 

If you continue to have psoriatic arthritis symptoms, your doctor or rheumatologist may prescribe 300-mg (taken as two 150-mg injections) doses to get you started."
,What's the dosing for ankylosing-spondylitis ?,"COSENTYX is a convenient once-a-month dose. The recommended dose is 150 mg, which is taken as 1 injection under the skin. To start, your doctor may either prescribe 5 weekly doses or just one dose every 4 weeks, based on what’s right for you. After that, you only need to take COSENTYX every 4 weeks.

 

If you continue to have AS symptoms, your doctor or rheumatologist may prescribe 300 mg (taken as two 150-mg injections)."
,What's the dosing for plaque-psoriasis ?,"COSENTYX is a convenient once-a-month dose. For people with moderate to severe plaque psoriasis, the actual dose is 300 mg once a week for 5 weeks, then every 4 weeks thereafter. For some people, a dose of 150 mg may be acceptable."
,Does COSENTYX require any prescreening before starting?,"COSENTYX is a medicine that affects your immune system. COSENTYX may increase your risk of having serious side effects such as:

 

Infections

COSENTYX may lower the ability of your immune system to fight infections and may increase your risk of infections.

Your doctor should check you for tuberculosis (TB) before starting treatment with COSENTYX.
If your doctor feels that you are at risk for TB, you may be treated with medicine for TB before you begin treatment with COSENTYX and during treatment with COSENTYX.
Your doctor should watch you closely for signs and symptoms of TB during treatment with COSENTYX. Do not take COSENTYX if you have an active TB infection."
,Why is it important to target and block IL-17A?,"Although some IL-17A is normal, when there’s an overproduction of IL-17A, your body becomes overwhelmed. This leads to damaging inflammation, causing you to see and feel symptoms like back pain, stiffness, and reduced mobility."
,Where can I find a doctor who has experience diagnosing and treating psoriatic arthritis with biologics as well as other treatments ?,https://www.cosentyx.com/psoriatic-arthritis/find-rheumatologist
,What is a biologic?,"A biologic is a protein-based medication that is made from living sources, and is taken by injection or infusion."
,What are the symptoms of psoriatic arthritis (PsA) ?,"• Joint pain and swelling
• Psoriasis skin plaques
• Enthesitis pain (where tendons and ligaments attach to bone)
• Dactylitis (swollen fingers or toes)
"
,Where can I find a dermatologist who has experience prescribing biologics as well as other treatments for moderate to severe plaque psoriasis.,https://www.cosentyx.com/plaque-psoriasis/find-a-dermatologist                                                                                                                                                                                                           Don’t forget to ask for a free sample of COSENTYX® and injection training by the healthcare professional's office.                                                                                                                                                                                                                 
,What are the most common adverse reactions?,"Most common adverse reactions (>1%) are nasopharyngitis, diarrhea, and upper respiratory tract infection."
